State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR
TN,HC.gov,All,03-new,"49,075",$553 ,$131 ,0.86,0.45,0.05,0.12,0.28,0,0.86,$489 ,$79 ,0.06,0.11,0.2,0.17,0.2,0.25,0.01,0.47,0.53,0,0.05,0,0.09,0.44,0.01,0.01,0.4,0.04,0.68,0.29,0.23,0.77,0.01,0.47,0.51,0.01,+,0.06,0.42,0.2,0.11,0.07,0.07,0.05
TX,HC.gov,All,01-atv,"715,543",$570 ,$106 ,0.93,0.6,0.03,0.11,0.46,0,0.93,$498 ,$78 ,0.1,0.11,0.12,0.15,0.21,0.28,0.03,0.44,0.56,0,0.14,0,0.04,0.32,0.02,0.02,0.45,0.26,0.5,0.24,0.11,0.89,0,0.33,0.62,0.05,+,0.04,0.52,0.17,0.12,0.06,0.06,0.04
TX,HC.gov,All,02-aut,"221,640",$561 ,$202 ,0.77,0.44,0.04,0.1,0.29,0,0.77,$466 ,$103 ,0.11,0.11,0.17,0.16,0.18,0.23,0.03,0.45,0.55,0,0.06,0,0.06,0.4,0.03,0.02,0.41,0.25,0.48,0.27,0.16,0.84,0.01,0.39,0.53,0.07,+,0.08,0.39,0.18,0.13,0.07,0.07,0.07
TX,HC.gov,All,03-new,"354,789",$501 ,$98 ,0.91,0.53,0.03,0.09,0.41,0,0.91,$445 ,$64 ,0.11,0.14,0.17,0.17,0.19,0.2,0.02,0.45,0.55,0,0.08,0,0.06,0.26,0.02,0.01,0.57,0.21,0.39,0.39,0.11,0.89,0.01,0.39,0.55,0.05,+,0.04,0.53,0.17,0.11,0.06,0.05,0.05
UT,HC.gov,All,01-atv,"128,940",$405 ,$84 ,0.92,0.45,0.05,0.13,0.26,0.01,0.92,$348 ,$62 ,0.3,0.11,0.16,0.17,0.12,0.15,0,0.48,0.52,0.01,0.03,0,0,0.49,0.01,0.01,0.45,0.07,0.67,0.27,0.16,0.84,0,0.53,0.46,0.01,+,0.05,0.27,0.18,0.2,0.13,0.14,0.03
UT,HC.gov,All,02-aut,"40,616",$425 ,$118 ,0.84,0.46,0.05,0.11,0.3,0.01,0.84,$367 ,$66 ,0.24,0.12,0.2,0.17,0.12,0.13,0.01,0.49,0.51,0.01,0.02,0,0.01,0.58,0.01,0.02,0.35,0.07,0.68,0.25,0.15,0.85,0,0.48,0.51,0.01,+,0.07,0.34,0.18,0.17,0.09,0.11,0.04
UT,HC.gov,All,03-new,"38,355",$383 ,$87 ,0.9,0.4,0.04,0.11,0.25,0.01,0.89,$331 ,$58 ,0.27,0.15,0.19,0.15,0.11,0.12,0.01,0.49,0.51,0.01,0.03,0,0.01,0.4,0.01,0.02,0.54,0.08,0.55,0.37,0.15,0.85,0.01,0.57,0.41,0.02,+,0.06,0.27,0.2,0.19,0.11,0.12,0.05
VA,HC.gov,All,01-atv,"146,882",$613 ,$155 ,0.88,0.37,0.06,0.15,0.16,0,0.88,$523 ,$102 ,0.12,0.08,0.12,0.15,0.19,0.31,0.02,0.45,0.55,0,0.18,0,0.07,0.51,0.02,0.03,0.18,0.07,0.84,0.08,0.14,0.86,0.01,0.41,0.38,0.2,0,0.09,0.17,0.23,0.21,0.13,0.14,0.03
VA,HC.gov,All,02-aut,"62,008",$594 ,$226 ,0.73,0.35,0.05,0.13,0.16,0,0.73,$508 ,$97 ,0.1,0.09,0.17,0.15,0.19,0.26,0.03,0.46,0.54,0,0.12,0,0.11,0.47,0.03,0.02,0.24,0.08,0.76,0.16,0.14,0.86,0.01,0.39,0.45,0.15,0,0.11,0.24,0.24,0.17,0.1,0.1,0.05
VA,HC.gov,All,03-new,"53,053",$546 ,$153 ,0.85,0.36,0.05,0.14,0.17,0,0.85,$464 ,$98 ,0.12,0.11,0.19,0.16,0.18,0.22,0.02,0.47,0.53,0,0.15,0,0.11,0.37,0.03,0.03,0.31,0.09,0.72,0.19,0.1,0.9,0.02,0.42,0.37,0.19,0.01,0.08,0.21,0.24,0.19,0.11,0.12,0.04
VT,SBM,All,01-atv,"1,082",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.07,0.16,0.16,0.21,0.35,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.38,0.25,0.28,NR,NR,0.05,0.16,0.2,0.2,0.22,0.17
VT,SBM,All,02-aut,"21,348",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.08,0.15,0.17,0.2,0.35,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.27,0.44,0.21,NR,NR,0.09,0.26,0.21,0.14,0.15,0.15
VT,SBM,All,03-new,"2,436",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,0.1,0.26,0.16,0.15,0.28,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.38,0.29,0.23,NR,NR,0.07,0.19,0.19,0.16,0.19,0.2
WA,SBM,All,01-atv,"34,472",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.08,0.07,0.16,0.18,0.19,0.3,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.53,0.32,0.15,NR,NR,0.08,0.16,0.14,0.11,0.15,0.37
WA,SBM,All,02-aut,"139,035",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.07,0.15,0.16,0.19,0.33,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.45,0.42,0.12,NR,NR,0.09,0.19,0.13,0.09,0.12,0.38
WA,SBM,All,03-new,"49,224",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.11,0.24,0.19,0.17,0.22,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.6,0.28,0.11,NR,NR,0.09,0.21,0.15,0.1,0.13,0.33
WI,HC.gov,All,01-atv,"119,805",$650 ,$172 ,0.87,0.35,0.05,0.13,0.17,0,0.87,$553 ,$118 ,0.05,0.06,0.13,0.14,0.17,0.46,0,0.44,0.56,0,0.03,0,0.02,0.68,0.01,0.01,0.25,0.03,0.86,0.11,0.39,0.61,0.01,0.48,0.38,0.13,0,0.09,0.2,0.2,0.16,0.12,0.21,0.03
WI,HC.gov,All,02-aut,"40,724",$609 ,$223 ,0.77,0.37,0.05,0.12,0.2,0.01,0.76,$506 ,$119 ,0.06,0.08,0.18,0.16,0.18,0.32,0.02,0.49,0.51,0.01,0.03,0,0.04,0.67,0.01,0.01,0.23,0.04,0.8,0.16,0.39,0.61,0.01,0.42,0.43,0.14,0,0.12,0.26,0.2,0.15,0.09,0.13,0.04
WI,HC.gov,All,03-new,"31,173",$574 ,$187 ,0.8,0.29,0.04,0.1,0.15,0,0.8,$487 ,$115 ,0.06,0.1,0.18,0.15,0.16,0.36,0,0.48,0.52,0,0.04,0,0.03,0.58,0.01,0.01,0.32,0.04,0.79,0.17,0.34,0.66,0.02,0.54,0.32,0.12,0,0.13,0.2,0.19,0.14,0.11,0.2,0.04
WV,HC.gov,All,01-atv,"10,481","$1,069 ",$278 ,0.91,0.48,0.11,0.24,0.13,0,0.91,$867 ,$219 ,0.04,0.04,0.09,0.14,0.2,0.48,0,0.42,0.58,0,0.03,0,0.01,0.77,0,0.01,0.17,0.02,0.93,0.05,0.42,0.58,0,0.35,0.6,0.05,+,0.06,0.14,0.29,0.2,0.12,0.16,0.02
WV,HC.gov,All,02-aut,"5,458","$1,035 ",$445 ,0.73,0.39,0.09,0.18,0.12,0,0.73,$810 ,$243 ,0.06,0.05,0.13,0.15,0.19,0.39,0.02,0.45,0.55,0,0.01,0,0.02,0.71,0.01,0.01,0.24,0.02,0.83,0.15,0.42,0.58,0,0.33,0.61,0.06,+,0.11,0.17,0.28,0.18,0.11,0.13,0.04
WV,HC.gov,All,03-new,"3,442",$951 ,$268 ,0.89,0.43,0.08,0.22,0.13,0,0.89,$767 ,$199 ,0.05,0.08,0.17,0.16,0.19,0.36,0.01,0.45,0.55,0,0.04,0,0.02,0.63,0.01,0.02,0.28,0.03,0.81,0.16,0.37,0.63,0.01,0.4,0.54,0.05,+,0.06,0.18,0.29,0.18,0.12,0.15,0.03
WY,HC.gov,All,01-atv,"15,611",$891 ,$106 ,0.94,0.2,0.01,0.05,0.13,0.01,0.94,$839 ,$60 ,0.15,0.07,0.16,0.17,0.15,0.29,0,0.45,0.55,0.01,0.01,0,0,0.78,0.01,0.02,0.17,0.05,0.86,0.09,0.79,0.21,+,0.16,0.2,0.65,+,0.03,0.19,0.17,0.22,0.16,0.21,0.02
WY,HC.gov,All,02-aut,"5,105",$858 ,$189 ,0.83,0.21,0.02,0.06,0.12,0.01,0.82,$813 ,$56 ,0.15,0.09,0.2,0.16,0.14,0.25,0.01,0.46,0.54,0.01,0.02,0,0.01,0.7,0.01,0.03,0.23,0.06,0.74,0.19,0.73,0.27,+,0.2,0.23,0.57,+,0.04,0.22,0.2,0.2,0.12,0.17,0.05
WY,HC.gov,All,03-new,"6,012",$824 ,$130 ,0.9,0.19,0.01,0.05,0.13,0.01,0.9,$773 ,$62 ,0.14,0.11,0.2,0.16,0.15,0.24,0,0.48,0.52,0.01,0.01,0,0.01,0.68,0.01,0.02,0.26,0.06,0.76,0.18,0.74,0.26,+,0.2,0.19,0.61,+,0.05,0.22,0.18,0.18,0.13,0.19,0.04
Total,HC.gov,All,01-atv,"4,648,617",$611 ,$130 ,"4,242,500","2,536,550","199,591","607,201","1,703,814","25,944","4,235,666",$528 ,$93 ,"427,836","424,165","589,769","734,453","952,994","1,449,145","70,255","2,049,643","2,598,974","22,320","347,007","2,778","240,805","2,158,538","75,207","79,240","1,722,722","642,200","2,999,338","1,007,079","845,274","3,803,343","18,097","1,616,170","2,691,183","314,249","8,918","259,356","1,911,009","877,080","621,732","401,539","451,669","126,232"
Total,HC.gov,All,02-aut,"1,718,912",$596 ,$210 ,"1,336,954","772,739","86,028","213,190","457,493","16,028","1,332,473",$498 ,$110 ,"158,899","173,119","305,067","286,475","318,088","442,124","35,140","790,728","928,184","15,534","74,712","1,636","125,252","818,359","30,318","30,760","622,341","172,684","1,085,167","461,061","362,768","1,356,144","9,352","639,007","941,921","124,615","4,017","156,225","611,750","340,368","233,940","135,258","146,640","94,731"
Total,HC.gov,All,03-new,"1,884,174",$533 ,$119 ,"1,669,520","915,058","62,583","206,618","639,724","6,133","1,665,971",$468 ,$76 ,"179,057","237,307","346,609","325,874","359,187","411,860","24,280","877,178","1,006,996","6,352","96,661","1,781","150,575","635,576","27,405","28,171","937,653","215,681","1,010,748","657,745","290,162","1,594,012","23,241","774,503","967,483","115,036","3,911","107,715","842,224","351,191","226,022","134,168","145,811","77,043"
Total,SBM,All,01-atv,"865,179",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,SBM,All,02-aut,"2,226,098",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,SBM,All,03-new,"661,385",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total ,All ,All ,01-atv,"5,513,796",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total ,All ,All ,02-aut,"3,945,010",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total ,All ,All ,03-new,"2,545,559",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
